Domain,Area,Element,Months,Year,Value
"Temperature change on land","Caribbean","Temperature change","January","1996","0.749"
"Temperature change on land","Caribbean","Temperature change","January","1997","0.798"
"Temperature change on land","Caribbean","Temperature change","January","1998","1.592"
"Temperature change on land","Caribbean","Temperature change","January","1999","1.199"
"Temperature change on land","Caribbean","Temperature change","January","2000","0.647"
"Temperature change on land","Caribbean","Temperature change","January","2001","-0.468"
"Temperature change on land","Caribbean","Temperature change","January","2002","0.978"
"Temperature change on land","Caribbean","Temperature change","January","2003","1.139"
"Temperature change on land","Caribbean","Temperature change","January","2004","0.75"
"Temperature change on land","Caribbean","Temperature change","January","2005","0.39"
"Temperature change on land","Caribbean","Temperature change","January","2006","0.841"
"Temperature change on land","Caribbean","Temperature change","January","2007","1.917"
"Temperature change on land","Caribbean","Temperature change","January","2008","0.734"
"Temperature change on land","Caribbean","Temperature change","January","2009","1.09"
